dest_tenant,source_tenant,purchase_issue_id,invoice_id,invoice_no,pr_type,invoice_tenant,is_invoice_tenant_same,purchase_issue_status
th408,th205,329266,519923,GC6493,PURCHASE_RETURN,,False,DISPATCH_READY
th214,th213,47984,125359,I25986500044,PURCHASE_RETURN,,False,dormant
th214,th213,46643,124166,MH0200002408,PURCHASE_RETURN,,False,dormant
th214,th213,46911,121344,SD2427171879,PURCHASE_RETURN,,False,dormant
th213,th214,672101,1000586,T0213-24A0003600,PURCHASE_RETURN,,False,pending
th413,th214,739893,1052073,118380-SR,PURCHASE_RETURN,,False,dormant
th414,th214,753665,1054448,T0414-24A0001457,PURCHASE_RETURN,,False,pending
th213,th214,772823,999727,T0214-24A0012209,REGULAR,,False,READY_FOR_RACKING
th213,th214,772824,999714,T0214-24A0014889,REGULAR,,False,READY_FOR_RACKING
th213,th214,775809,1057893,T0425-25A0002282,REGULAR,,False,DISPATCH_READY
th413,th214,783538,1020753,T0214-25A0003495,REGULAR,,False,DISPATCH_READY
th429,th214,814629,1055855,T0421-25A0000808,REGULAR,,False,READY_FOR_RACKING
th429,th214,814727,1063062,U0025687883,REGULAR,,False,READY_FOR_RACKING
th429,th214,830486,1064198,00978533,REGULAR,,False,READY_FOR_RACKING
th429,th214,830490,1064257,KR/25-26/19462,REGULAR,,False,READY_FOR_RACKING
th429,th214,830494,1058529,T0402-25A0008628,REGULAR,,False,READY_FOR_RACKING
th418,th214,836723,1031010,100836-SR,PURCHASE_RETURN,,False,dormant
th418,th214,836724,1052172,118481-SR,PURCHASE_RETURN,,False,dormant
th418,th214,836725,1052073,118380-SR,PURCHASE_RETURN,,False,dormant
th418,th214,836727,1052012,118322-SR,PURCHASE_RETURN,,False,dormant
th418,th214,836726,1030723,99728-SR,PURCHASE_RETURN,,False,dormant
th418,th214,836729,1039051,EA-25-127073,PURCHASE_RETURN,,False,dormant
th418,th214,836728,1038490,EA-25-127123,PURCHASE_RETURN,,False,dormant
th413,th214,836730,1041930,110256-SR,PURCHASE_RETURN,,False,dormant
th413,th214,836731,1041930,110256-SR,PURCHASE_RETURN,,False,dormant
th413,th214,836732,1052172,118481-SR,PURCHASE_RETURN,,False,dormant
th421,th214,836733,1052012,118322-SR,PURCHASE_RETURN,,False,dormant
th413,th214,836735,998052,T0213-25A0000720,PURCHASE_RETURN,,False,dormant
th413,th214,836734,1069596,115637-SR,PURCHASE_RETURN,,False,dormant
th413,th214,836736,1038143,EA-25-127166,PURCHASE_RETURN,,False,dormant
th417,th214,836744,883923,1401051717,PURCHASE_RETURN,,False,dormant
th421,th214,837723,1031010,100836-SR,PURCHASE_RETURN,,False,dormant
th413,th214,837721,736481,T0426-24A0000653,PURCHASE_RETURN,,False,dormant
th413,th214,837722,1006211,T0213-25A0001747,PURCHASE_RETURN,,False,dormant
th421,th214,837729,1031010,100836-SR,PURCHASE_RETURN,,False,dormant
th421,th214,837728,1052073,118380-SR,PURCHASE_RETURN,,False,dormant
th413,th214,837741,1034853,92266-SR,PURCHASE_RETURN,,False,dormant
th413,th214,837742,1031010,100836-SR,PURCHASE_RETURN,,False,dormant
th418,th214,841980,1071181,113528-SR,PURCHASE_RETURN,,False,dormant
th418,th214,841979,1073454,135617-SR,PURCHASE_RETURN,,False,dormant
th435,th214,846533,1069525,114717-SR,PURCHASE_RETURN,,False,dormant
th435,th214,846543,1074715,F/27669,PURCHASE_RETURN,,False,READY_FOR_RACKING
th435,th214,846608,1070716,SI/266848,PURCHASE_RETURN,,False,READY_FOR_RACKING
th435,th214,846625,1069172,251402110326,PURCHASE_RETURN,,False,READY_FOR_RACKING
th435,th214,846779,1066337,DR0418-25A000200,PURCHASE_RETURN,,False,READY_FOR_RACKING
